样本ID,敏感等级,内容敏感性,空间敏感性,共享可信性,融合扩散性,综合风险说明
S001,Ⅰ级,低,低,中,中,依据规则自动判定
S002,Ⅲ级,高,高,中,低,依据规则自动判定
S003,Ⅱ级,高,中,低,高,依据规则自动判定
S004,Ⅱ级,高,低,中,高,依据规则自动判定
S005,Ⅲ级,低,高,高,中,依据规则自动判定
S006,Ⅱ级,低,高,中,低,依据规则自动判定
S007,Ⅱ级,高,低,中,低,依据规则自动判定
S008,Ⅰ级,中,高,高,高,依据规则自动判定
S009,Ⅱ级,高,低,高,中,依据规则自动判定
S010,Ⅱ级,高,中,中,低,依据规则自动判定
S011,Ⅰ级,中,低,低,低,依据规则自动判定
S012,Ⅲ级,中,低,中,高,依据规则自动判定
S013,Ⅱ级,低,低,中,低,依据规则自动判定
S014,Ⅱ级,低,中,中,低,依据规则自动判定
S015,Ⅲ级,低,高,中,低,依据规则自动判定
S016,Ⅲ级,高,中,中,低,依据规则自动判定
S017,Ⅱ级,高,中,高,高,依据规则自动判定
S018,Ⅱ级,中,高,中,中,依据规则自动判定
S019,Ⅲ级,低,低,中,高,依据规则自动判定
S020,Ⅲ级,高,高,高,低,依据规则自动判定
S021,Ⅲ级,低,高,高,低,依据规则自动判定
S022,Ⅲ级,低,中,低,中,依据规则自动判定
S023,Ⅱ级,中,低,中,低,依据规则自动判定
S024,Ⅲ级,低,中,高,高,依据规则自动判定
S025,Ⅲ级,中,高,中,高,依据规则自动判定
S026,Ⅲ级,低,低,低,中,依据规则自动判定
S027,Ⅰ级,中,低,中,中,依据规则自动判定
S028,Ⅲ级,高,中,中,低,依据规则自动判定
S029,Ⅱ级,高,高,高,低,依据规则自动判定
S030,Ⅰ级,高,低,高,低,依据规则自动判定
S031,Ⅱ级,低,低,低,高,依据规则自动判定
S032,Ⅰ级,中,高,高,中,依据规则自动判定
S033,Ⅱ级,中,高,低,高,依据规则自动判定
S034,Ⅰ级,高,中,中,高,依据规则自动判定
S035,Ⅰ级,高,高,高,高,依据规则自动判定
S036,Ⅱ级,中,低,中,低,依据规则自动判定
S037,Ⅰ级,低,低,高,高,依据规则自动判定
S038,Ⅰ级,高,高,高,高,依据规则自动判定
S039,Ⅱ级,低,高,高,高,依据规则自动判定
S040,Ⅱ级,低,中,中,中,依据规则自动判定
