样本ID,空间精度,覆盖范围,更新频率,共享方式,共享频次,是否跨域,安防能力
S001,1.430555556,区县级,年度,在线下载,正常,否,中
S002,10m,省域,年度,离线拷贝,异常,是,中
S003,1:10000,市域,日更新,离线拷贝,正常,否,中
S004,1m,区县级,日更新,在线下载,正常,否,弱
S005,10m,区县级,月更新,离线拷贝,正常,否,弱
S006,5m,省域,月更新,在线下载,异常,否,强
S007,10m,市域,年度,离线拷贝,正常,否,弱
S008,5m,区县级,日更新,接口调用,正常,否,强
S009,5m,市域,日更新,离线拷贝,异常,否,强
S010,5m,省域,实时,离线拷贝,异常,否,强
S011,1.430555556,局部,年度,在线下载,异常,是,弱
S012,1m,局部,年度,在线下载,异常,否,强
S013,1:10000,区县级,月更新,在线下载,异常,否,强
S014,1.430555556,市域,实时,在线下载,正常,否,强
S015,1m,局部,日更新,离线拷贝,正常,否,弱
S016,1:10000,市域,年度,在线下载,异常,是,弱
S017,1.430555556,省域,月更新,在线下载,正常,否,中
S018,1.430555556,区县级,月更新,在线下载,异常,否,中
S019,1:10000,局部,月更新,接口调用,异常,否,弱
S020,10m,省域,年度,在线下载,异常,是,弱
S021,1m,区县级,年度,在线下载,异常,否,弱
S022,1:10000,区县级,年度,接口调用,正常,否,弱
S023,1m,区县级,实时,离线拷贝,正常,是,强
S024,10m,区县级,月更新,接口调用,异常,是,中
S025,1:10000,市域,实时,在线下载,正常,否,弱
S026,1m,省域,日更新,在线下载,正常,是,强
S027,1:10000,局部,日更新,接口调用,异常,是,强
S028,5m,省域,日更新,在线下载,正常,是,弱
S029,1m,区县级,月更新,在线下载,异常,否,弱
S030,5m,区县级,日更新,接口调用,正常,是,强
S031,5m,省域,年度,接口调用,异常,否,中
S032,1:10000,局部,年度,接口调用,异常,否,中
S033,1:10000,市域,年度,离线拷贝,正常,是,中
S034,5m,市域,月更新,离线拷贝,异常,是,弱
S035,5m,市域,年度,在线下载,正常,否,中
S036,1m,区县级,日更新,接口调用,正常,是,强
S037,1m,市域,实时,离线拷贝,异常,是,弱
S038,5m,市域,日更新,接口调用,异常,否,强
S039,1:10000,区县级,年度,离线拷贝,异常,是,中
S040,1.430555556,省域,月更新,接口调用,正常,是,强
