事件ID,样本ID,事件类型,生命周期环节,访问主体,网络域,触发规则ID,发生时间,事件描述
E001,S031,越权访问,应用,第三方机构,内网,R028,2025/12/16 4:53,越权访问触发，进入规则判定流程
E002,S030,跨域调用,共享,第三方机构,内网,R015,2026/1/7 18:48,跨域调用触发，进入规则判定流程
E003,S008,出域审批未通过,共享,第三方机构,互联网,R014,2025/10/24 12:43,出域审批未通过触发，进入规则判定流程
E004,S013,实时监测高频更新,共享,内部用户,互联网,R007,2025/12/14 7:25,实时监测高频更新触发，进入规则判定流程
E005,S030,跨域调用,应用,第三方机构,政务外网,R022,2025/10/20 16:59,跨域调用触发，进入规则判定流程
E006,S039,共享频次异常,采集,公众访问,互联网,R018,2026/1/3 14:17,共享频次异常触发，进入规则判定流程
E007,S032,出域审批未通过,存储,公众访问,互联网,R011,2025/11/27 11:12,出域审批未通过触发，进入规则判定流程
E008,S029,日志缺失,共享,公众访问,内网,R002,2025/11/27 7:59,日志缺失触发，进入规则判定流程
E009,S008,高精度对外共享,采集,跨部门用户,政务外网,R009,2025/12/26 18:03,高精度对外共享触发，进入规则判定流程
E010,S040,越权访问,存储,内部用户,互联网,R018,2026/1/7 21:05,越权访问触发，进入规则判定流程
E011,S038,共享频次异常,应用,跨部门用户,内网,R021,2025/12/20 22:28,共享频次异常触发，进入规则判定流程
E012,S036,实时监测高频更新,共享,第三方机构,互联网,R007,2025/10/22 15:11,实时监测高频更新触发，进入规则判定流程
E013,S011,共享频次异常,存储,内部用户,政务外网,R008,2025/11/10 21:15,共享频次异常触发，进入规则判定流程
E014,S009,高精度对外共享,共享,内部用户,互联网,R016,2025/10/28 9:01,高精度对外共享触发，进入规则判定流程
E015,S004,融合反推风险,存储,第三方机构,互联网,R017,2025/11/6 11:50,融合反推风险触发，进入规则判定流程
E016,S001,批量导出,共享,内部用户,政务外网,R020,2025/12/16 14:11,批量导出触发，进入规则判定流程
E017,S039,高精度对外共享,传输,第三方机构,内网,R007,2025/12/20 8:00,高精度对外共享触发，进入规则判定流程
E018,S037,共享频次异常,传输,公众访问,互联网,R024,2025/11/30 21:03,共享频次异常触发，进入规则判定流程
E019,S034,异常认证,传输,跨部门用户,政务外网,R029,2025/12/20 1:03,异常认证触发，进入规则判定流程
E020,S011,跨域调用,共享,第三方机构,内网,R028,2025/12/4 11:00,跨域调用触发，进入规则判定流程
E021,S031,高精度对外共享,传输,第三方机构,内网,R017,2025/11/14 12:21,高精度对外共享触发，进入规则判定流程
E022,S016,跨域调用,采集,公众访问,互联网,R003,2025/12/29 1:43,跨域调用触发，进入规则判定流程
E023,S003,实时监测高频更新,采集,跨部门用户,政务外网,R016,2025/10/31 10:06,实时监测高频更新触发，进入规则判定流程
E024,S040,异常认证,应用,第三方机构,政务外网,R002,2026/1/6 18:07,异常认证触发，进入规则判定流程
E025,S005,共享频次异常,存储,第三方机构,内网,R002,2025/10/29 9:25,共享频次异常触发，进入规则判定流程
E026,S002,批量导出,存储,跨部门用户,政务外网,R019,2025/10/27 20:45,批量导出触发，进入规则判定流程
E027,S002,跨域调用,采集,第三方机构,政务外网,R026,2025/12/14 6:25,跨域调用触发，进入规则判定流程
E028,S019,实时监测高频更新,传输,跨部门用户,政务外网,R008,2025/12/24 5:35,实时监测高频更新触发，进入规则判定流程
E029,S002,异常认证,传输,内部用户,政务外网,R029,2026/1/9 13:33,异常认证触发，进入规则判定流程
E030,S022,实时监测高频更新,应用,跨部门用户,内网,R023,2025/12/14 23:48,实时监测高频更新触发，进入规则判定流程
E031,S003,融合反推风险,采集,第三方机构,政务外网,R017,2026/1/3 22:12,融合反推风险触发，进入规则判定流程
E032,S025,出域审批未通过,共享,第三方机构,互联网,R016,2025/12/29 4:15,出域审批未通过触发，进入规则判定流程
E033,S022,异常认证,应用,内部用户,互联网,R016,2025/11/3 2:34,异常认证触发，进入规则判定流程
E034,S012,日志缺失,共享,公众访问,内网,R026,2025/10/31 20:32,日志缺失触发，进入规则判定流程
E035,S020,融合反推风险,应用,内部用户,内网,R025,2025/10/23 11:57,融合反推风险触发，进入规则判定流程
E036,S016,越权访问,共享,第三方机构,互联网,R025,2025/10/18 7:00,越权访问触发，进入规则判定流程
E037,S003,出域审批未通过,存储,内部用户,内网,R017,2025/12/25 19:13,出域审批未通过触发，进入规则判定流程
E038,S013,融合反推风险,应用,跨部门用户,内网,R003,2025/10/23 12:38,融合反推风险触发，进入规则判定流程
E039,S023,批量导出,存储,内部用户,互联网,R012,2025/12/20 8:56,批量导出触发，进入规则判定流程
E040,S040,出域审批未通过,应用,内部用户,互联网,R027,2026/1/4 1:43,出域审批未通过触发，进入规则判定流程
E041,S006,越权访问,采集,内部用户,内网,R014,2025/12/9 20:12,越权访问触发，进入规则判定流程
E042,S003,批量导出,存储,公众访问,政务外网,R011,2025/11/26 1:45,批量导出触发，进入规则判定流程
E043,S015,高精度对外共享,采集,公众访问,内网,R010,2025/11/3 1:39,高精度对外共享触发，进入规则判定流程
E044,S004,实时监测高频更新,传输,公众访问,内网,R022,2025/11/11 23:09,实时监测高频更新触发，进入规则判定流程
E045,S011,共享频次异常,采集,第三方机构,互联网,R025,2026/1/9 18:47,共享频次异常触发，进入规则判定流程
