动作ID,事件ID,规则ID,执行动作,行为强度,持续时间秒,执行结果,执行时间
A0001,E001,R028,阻断行为,低,120,成功,2025/12/16 4:53
A0002,E001,R028,告警,中,300,失败,2025/12/16 4:53
A0003,E002,R015,频控,中,120,成功,2026/1/7 18:48
A0004,E002,R015,告警,中,30,成功,2026/1/7 18:48
A0005,E003,R014,阻断连接,高,5,成功,2025/10/24 12:43
A0006,E003,R014,告警,低,0,成功,2025/10/24 12:43
A0007,E004,R007,限制共享,低,30,成功,2025/12/14 7:25
A0008,E004,R007,加密,低,0,失败,2025/12/14 7:25
A0009,E005,R022,频控,高,0,失败,2025/10/20 16:59
A0010,E005,R022,告警,低,300,成功,2025/10/20 16:59
A0011,E006,R018,频控,中,300,成功,2026/1/3 14:17
A0012,E006,R018,告警,高,0,成功,2026/1/3 14:17
A0013,E007,R011,阻断连接,高,5,成功,2025/11/27 11:12
A0014,E007,R011,告警,中,120,失败,2025/11/27 11:12
A0015,E008,R002,告警,低,30,成功,2025/11/27 7:59
A0016,E008,R002,复核,低,0,成功,2025/11/27 7:59
A0017,E009,R009,审批,高,120,失败,2025/12/26 18:03
A0018,E009,R009,脱敏,高,5,失败,2025/12/26 18:03
A0019,E010,R018,阻断行为,低,300,成功,2026/1/7 21:05
A0020,E010,R018,告警,低,300,成功,2026/1/7 21:05
A0021,E011,R021,频控,低,30,失败,2025/12/20 22:28
A0022,E011,R021,告警,低,300,成功,2025/12/20 22:28
A0023,E012,R007,限制共享,高,30,成功,2025/10/22 15:11
A0024,E012,R007,加密,高,120,成功,2025/10/22 15:11
A0025,E013,R008,频控,高,30,成功,2025/11/10 21:15
A0026,E013,R008,告警,低,120,成功,2025/11/10 21:15
A0027,E014,R016,审批,低,30,成功,2025/10/28 9:01
A0028,E014,R016,脱敏,中,300,成功,2025/10/28 9:01
A0029,E015,R017,遮盖,低,0,成功,2025/11/6 11:50
A0030,E015,R017,脱敏,高,0,失败,2025/11/6 11:50
A0031,E016,R020,阻断行为,高,300,失败,2025/12/16 14:11
A0032,E016,R020,告警,低,120,成功,2025/12/16 14:11
A0033,E017,R007,审批,低,30,成功,2025/12/20 8:00
A0034,E017,R007,脱敏,低,5,成功,2025/12/20 8:00
A0035,E018,R024,频控,高,30,成功,2025/11/30 21:03
A0036,E018,R024,告警,中,0,成功,2025/11/30 21:03
A0037,E019,R029,阻断连接,高,0,成功,2025/12/20 1:03
A0038,E019,R029,告警,低,120,成功,2025/12/20 1:03
