审计ID,事件ID,样本ID,规则ID,责任主体,审计结论,处置闭环,留痕位置,记录时间
AU0001,E001,S031,R028,数据管理员,合规,已闭环,审计系统工单,2025/12/16 4:53
AU0002,E002,S030,R015,系统管理员,合规,处理中,审计系统工单,2026/1/7 18:48
AU0003,E003,S008,R014,业务负责人,合规,待整改,ELK日志,2025/10/24 12:43
AU0004,E004,S013,R007,系统管理员,合规,处理中,数据库审计表,2025/12/14 7:25
AU0005,E005,S030,R022,业务负责人,不合规,处理中,审计系统工单,2025/10/20 16:59
AU0006,E006,S039,R018,数据管理员,不合规,待整改,审计系统工单,2026/1/3 14:17
AU0007,E007,S032,R011,数据管理员,需复核,已闭环,数据库审计表,2025/11/27 11:12
AU0008,E008,S029,R002,业务负责人,合规,处理中,数据库审计表,2025/11/27 7:59
AU0009,E009,S008,R009,系统管理员,合规,待整改,审计系统工单,2025/12/26 18:03
AU0010,E010,S040,R018,安全审计员,需复核,处理中,数据库审计表,2026/1/7 21:05
AU0011,E011,S038,R021,业务负责人,不合规,待整改,消息队列记录,2025/12/20 22:28
AU0012,E012,S036,R007,数据管理员,需复核,已闭环,审计系统工单,2025/10/22 15:11
AU0013,E013,S011,R008,业务负责人,需复核,已闭环,消息队列记录,2025/11/10 21:15
AU0014,E014,S009,R016,业务负责人,需复核,已闭环,审计系统工单,2025/10/28 9:01
AU0015,E015,S004,R017,系统管理员,不合规,待整改,数据库审计表,2025/11/6 11:50
AU0016,E016,S001,R020,业务负责人,需复核,待整改,数据库审计表,2025/12/16 14:11
AU0017,E017,S039,R007,数据管理员,不合规,处理中,ELK日志,2025/12/20 8:00
AU0018,E018,S037,R024,业务负责人,不合规,待整改,审计系统工单,2025/11/30 21:03
AU0019,E019,S034,R029,系统管理员,合规,待整改,审计系统工单,2025/12/20 1:03
AU0020,E020,S011,R028,安全审计员,需复核,已闭环,数据库审计表,2025/12/4 11:00
AU0021,E021,S031,R017,安全审计员,不合规,待整改,ELK日志,2025/11/14 12:21
AU0022,E022,S016,R003,业务负责人,不合规,已闭环,消息队列记录,2025/12/29 1:43
AU0023,E023,S003,R016,系统管理员,合规,已闭环,数据库审计表,2025/10/31 10:06
AU0024,E024,S040,R002,业务负责人,合规,处理中,ELK日志,2026/1/6 18:07
AU0025,E025,S005,R002,数据管理员,合规,已闭环,ELK日志,2025/10/29 9:25
AU0026,E026,S002,R019,系统管理员,需复核,已闭环,数据库审计表,2025/10/27 20:45
AU0027,E027,S002,R026,数据管理员,合规,处理中,数据库审计表,2025/12/14 6:25
AU0028,E028,S019,R008,安全审计员,不合规,已闭环,数据库审计表,2025/12/24 5:35
AU0029,E029,S002,R029,系统管理员,需复核,处理中,ELK日志,2026/1/9 13:33
AU0030,E030,S022,R023,系统管理员,需复核,处理中,审计系统工单,2025/12/14 23:48
AU0031,E031,S003,R017,业务负责人,需复核,处理中,数据库审计表,2026/1/3 22:12
AU0032,E032,S025,R016,业务负责人,需复核,处理中,ELK日志,2025/12/29 4:15
AU0033,E033,S022,R016,安全审计员,合规,已闭环,ELK日志,2025/11/3 2:34
AU0034,E034,S012,R026,业务负责人,合规,待整改,消息队列记录,2025/10/31 20:32
AU0035,E035,S020,R025,安全审计员,不合规,待整改,审计系统工单,2025/10/23 11:57
AU0036,E036,S016,R025,业务负责人,合规,已闭环,审计系统工单,2025/10/18 7:00
AU0037,E037,S003,R017,数据管理员,需复核,处理中,数据库审计表,2025/12/25 19:13
AU0038,E038,S013,R003,安全审计员,需复核,处理中,消息队列记录,2025/10/23 12:38
AU0039,E039,S023,R012,数据管理员,不合规,待整改,ELK日志,2025/12/20 8:56
AU0040,E040,S040,R027,安全审计员,需复核,待整改,消息队列记录,2026/1/4 1:43
AU0041,E041,S006,R014,业务负责人,需复核,处理中,ELK日志,2025/12/9 20:12
AU0042,E042,S003,R011,安全审计员,合规,已闭环,ELK日志,2025/11/26 1:45
AU0043,E043,S015,R010,系统管理员,合规,待整改,数据库审计表,2025/11/3 1:39
AU0044,E044,S004,R022,系统管理员,不合规,待整改,消息队列记录,2025/11/11 23:09
AU0045,E045,S011,R025,业务负责人,需复核,已闭环,ELK日志,2026/1/9 18:47
